Year 2011
Age,Men,Women
199051,14233,14233
199054,5902,5902
199057,7,7
199035,33375,33375
199034,15610,15610
199036,15425,15425
199037,11597,11597
199045,22541,22541
199038,117562,117562
199046,21358,21358
199055,7385,7385
199047,21270,21270
199048,119,119
199030,28836,28836
199031,14192,14192
199032,8219,8219
199004,21628,21628
199003,553,553
199005,557,557
164021,501,501
167018,4651,4651
167017,2909,2909
167019,406,406
167026,1190,1190
167024,507,507
167020,81,81
167022,550,550
167014,451,451
167011,4800,4800
166007,7702,7702
166005,18388,18388
166008,35269,35269
167006,695,695
167008,838,838
167007,5606,5606
167009,596,596
164016,3281,3281
164014,81,81
164017,4504,4504
164018,1364,1364
199007,4982,4982
199053,2619,2619
199056,398,398
167028,204,204
199001,2733,2733
164020,41,41
167015,340,340
167012,6013,6013
167001,1398,1398
167013,0,0
167023,34,34
167025,87,87
167005,25,25
167003,164,164
167027,29,29
167010,1389,1389
167016,491,491
166010,195,195
166009,152,152
166011,270,270
199011,2951,2951
164015,4159,4159
199008,284,284
199006,155,155
164022,469,469
199009,142,142
199010,21,21
166004,2,2
Count of simulated events
EducationEvent,157509
BirthEvent,40085
DivorceEvent,10448
EmploymentEvent,105006
MarriageEvent,28951
BirthDayEvent,4056539
RenovationEvent,1184231
MoveEvent,134742
LeaveParentsEvent,1614
LicenseEvent,1548521
DeathEvent,12756
DemolitionEvent,1161
ConstructionEvent,45433
Year 2012
Age,Men,Women
0,20965,19782
1,20635,19304
2,31723,29851
3,48549,34697
4,34208,32631
5,36725,35763
6,31389,23612
7,30271,33305
8,37584,30541
9,27480,36448
10,30393,32906
11,26641,31177
12,28071,25909
13,30749,37726
14,33803,27639
15,32006,29168
16,28629,29623
17,30074,34461
18,28482,27840
19,33630,30149
20,30791,33614
21,41217,27257
22,33587,43467
23,35938,36222
24,37100,56327
25,38067,42575
26,34758,38818
27,41735,38433
28,45394,41890
29,63627,38607
30,44393,43781
31,34125,36780
32,37200,37520
33,40618,32725
34,33046,35846
35,34761,33523
36,35689,32802
37,32414,41212
38,37172,28120
39,31548,34456
40,31990,28028
41,28785,36585
42,29224,29898
43,29298,35764
44,22747,26060
45,29241,26475
46,24278,23419
47,22448,36750
48,23310,23732
49,24357,25478
50,22840,23725
51,20783,38416
52,19090,22432
53,29230,24476
54,20204,18210
55,19935,18819
56,15792,21927
57,13340,17234
58,15622,21190
59,15545,16309
60,14114,17678
61,11115,18855
62,8054,12056
63,15126,14599
64,16051,9052
65,16794,7388
66,8295,7453
67,6513,7866
68,4675,12811
69,5259,12312
70,5859,9410
71,5182,10455
72,4857,8690
73,4215,8402
74,3257,5354
75,2934,14153
76,3665,6732
77,2874,5869
78,3531,5654
79,2519,5629
80,2609,5233
81,2521,5592
82,1627,5425
83,2375,2962
84,1848,2844
85,1035,3289
86,1179,1414
87,410,2095
88,680,1596
89,544,1080
90,198,1127
91,234,317
92,215,342
93,110,246
94,68,163
95,25,99
96,123,81
97,65,147
98,3,48
99,17,36
100,122,210
hhByType,hh
SIZE_1_INC_LOW,254424
SIZE_2_INC_LOW,259268
SIZE_3_INC_LOW,216747
SIZE_4_INC_LOW,463834
SIZE_1_INC_MEDIUM,474
SIZE_2_INC_MEDIUM,2677
SIZE_3_INC_MEDIUM,2561
SIZE_4_INC_MEDIUM,4962
SIZE_1_INC_HIGH,28
SIZE_2_INC_HIGH,267
SIZE_3_INC_HIGH,191
SIZE_4_INC_HIGH,435
SIZE_1_INC_VERY_HIGH,551
SIZE_2_INC_VERY_HIGH,1112
SIZE_3_INC_VERY_HIGH,1099
SIZE_4_INC_VERY_HIGH,2060
hhBySize,255477,263324,220598,205029,89766,54276,39224,26039,17258,39699
AveHHSize,3.395040018501846
AveHHInc,3439.962692348991,MedianHHInc,1741.0
laborParticipationRateByAge,male,female
<18,0.000577,0.001506
18-29,0.335796,0.338142
30-49,0.587927,0.600476
50-64,0.620765,0.626596
>=65,0.243257,0.093777
aveCommuteDistByRegion,minutes
166002,27.73451
164002,35.3389
199041,20.731981
199014,21.967905
199013,26.010105
199026,20.653011
199002,29.378525
199015,21.864454
199016,21.353067
199025,18.96039
199027,NaN
199028,18.207735
199029,18.71698
199042,26.453203
199043,20.585651
199019,22.266506
199017,23.714153
199018,22.38242
199020,22.50471
199024,17.783747
199033,17.826452
199039,18.01619
199040,22.19304
199050,25.815374
167002,26.851963
199022,19.741093
199021,19.773035
199023,19.242102
199052,29.95845
199051,27.391935
199054,32.751873
199057,42.112614
199035,18.97982
199034,18.378603
199036,19.065218
199037,18.912657
199045,24.213985
199038,17.681082
199046,22.181976
199055,28.637657
199047,25.56127
199048,25.149084
199030,17.167953
199031,15.677328
199032,16.577728
199004,33.03674
199003,34.13692
199005,33.335693
164021,26.764406
167018,27.852697
167017,26.945005
167019,26.23268
167026,24.379894
167024,25.715227
167020,23.817537
167022,25.930056
167014,27.65425
167011,26.194487
166007,24.84333
166005,26.640285
166008,26.64223
167006,30.101748
167008,29.299288
167007,32.9871
167009,29.872515
164016,33.21136
164014,38.927654
164017,31.105032
164018,26.396044
199007,29.086784
199053,32.30791
199056,37.32226
167028,20.745005
199001,30.266853
164020,28.433687
167015,24.94835
167012,24.383001
167001,24.417091
167013,NaN
167023,27.321714
167025,25.902628
167005,24.266144
167003,25.899593
167027,21.875898
167010,26.382761
167016,29.408186
166010,31.223078
166009,27.1604
166011,29.8698
199011,24.718367
164015,30.61667
199008,29.45536
199006,29.721144
164022,32.512367
199009,23.79347
199010,26.105772
166004,32.225716
carOwnershipLevel,households
0cars,662977
1car,547713
2cars,0
3+cars,0
QualityLevel,Dwellings
1,45851
2,67844
3,101720
4,969420
CountOfDD,FORMAL,763395
CountOfDD,SEMIDETACHED,101874
CountOfDD,MULTIFAMILY,130426
CountOfDD,BACKYARD_INFORMAL,90717
CountOfDD,INFORMAL,176561
AveMonthlyPrice,FORMAL,957.3856479756006
AveMonthlyPrice,SEMIDETACHED,630.1950285335585
AveMonthlyPrice,MULTIFAMILY,834.6581608168565
AveMonthlyPrice,BACKYARD_INFORMAL,233.0834494407942
AveMonthlyPrice,INFORMAL,331.60457810846674
AveVacancy,FORMAL,0.024532
AveVacancy,SEMIDETACHED,0.028047
AveVacancy,MULTIFAMILY,0.064781
AveVacancy,BACKYARD_INFORMAL,0.006653
AveVacancy,INFORMAL,0.005560
Available land for construction by region
166002,717.365000
164002,1651.755000
199041,14916.180000
199014,3363.300000
199013,4744.040000
199026,1124.420000
199002,19424.315000
199015,2929.640000
199016,8720.125000
199025,628.645000
199027,115.975000
199028,97.175000
199029,5015.920001
199042,409.650000
199043,9.010000
199019,2653.735000
199017,3023.180000
199018,1914.780000
199020,2832.425000
199024,2027.305001
199033,3282.800001
199039,2316.415003
199040,959.090000
199050,537.020000
167002,1782.640000
199022,1920.720000
199021,1673.400000
199023,1602.045000
199052,338.230000
199051,1014.180000
199054,147.115000
199057,19.710000
199035,2867.950000
199034,950.790000
199036,388.185000
199037,212.875000
199045,7677.820000
199038,6529.270001
199046,575.880001
199055,1968.385000
199047,4360.385000
199048,75.000000
199030,1700.305000
199031,577.860000
199032,686.545000
199004,1318.425000
199003,8.450000
199005,1883.015000
164021,4.140000
167018,2166.485000
167017,207.640000
167019,13.830000
167026,100.250000
167024,44.560000
167020,34.500000
167022,35.690000
167014,149.475000
167011,85.570000
166007,0.000000
166005,678.790000
166008,3345.565000
167006,15.610000
167008,26.050000
167007,95.070000
167009,0.120000
164016,723.520000
164014,132.250000
164017,266.005000
164018,63.980000
199007,448.550000
199053,2119.400000
199056,61.480000
167028,32.200000
199001,32.430000
164020,14.490000
167015,61.230000
167012,0.005000
167001,322.305000
167013,250.985000
167023,6.420000
167025,7.500000
167005,30.990000
167003,10.000000
167027,33.500000
167010,21.150000
167016,59.850000
166010,51.000000
166009,13.500000
166011,7.420000
199011,230.960000
164015,50.445000
199008,372.510000
199006,109.000000
164022,65.280000
199009,239.750000
199010,63.420000
166004,88.670000
Housing costs by income group
Income,rent_250,rent_500,rent_750,rent_1000,rent_1250,rent_1500,rent_1750,rent_2000,rent_2250,rent_2500,averageRent
10000,564898,154995,62176,75401,36361,43867,55548,35525,40338,72329,669
20000,10784,2040,1202,1324,1170,1392,2138,10213,10825,11747,1568
30000,576,92,35,69,34,53,58,869,958,5623,2446
40000,249,41,11,19,12,22,25,27,41,1860,2682
50000,34,7,3,3,3,0,2,2,3,291,4664
60000,61,11,9,9,7,7,9,7,10,443,4642
70000,0,1,0,1,0,1,0,0,1,72,7507
80000,109,17,9,17,6,7,9,9,16,2018,7603
90000,36,3,4,5,0,4,3,3,5,908,8171
100000,38,2,3,3,1,6,4,2,10,1489,12985
jobByRegion,Empl,total
166002,6478,6478
164002,460,460
199041,187682,187682
199014,45761,45761
199013,50477,50477
199026,24232,24232
199002,7576,7576
199015,48124,48124
199016,50347,50347
199025,13453,13453
199027,0,0
199028,15806,15806
199029,68413,68413
199042,8123,8123
199043,6606,6606
199019,26123,26123
199017,27334,27334
199018,61028,61028
199020,22487,22487
199024,22235,22235
199033,62970,62970
199039,103927,103927
199040,29260,29260
199050,15963,15963
167002,6451,6451
199022,19910,19910
199021,19872,19872
199023,42220,42220
199052,4809,4809
199051,14292,14292
199054,5928,5928
199057,7,7
199035,33520,33520
199034,15681,15681
199036,15492,15492
199037,11650,11650
199045,22605,22605
199038,118092,118092
199046,21463,21463
199055,7413,7413
199047,21360,21360
199048,119,119
199030,28967,28967
199031,14253,14253
199032,8253,8253
199004,21722,21722
199003,555,555
199005,557,557
164021,503,503
167018,4661,4661
167017,2921,2921
167019,408,408
167026,1194,1194
167024,508,508
167020,81,81
167022,551,551
167014,452,452
167011,4822,4822
166007,7740,7740
166005,18475,18475
166008,35429,35429
167006,698,698
167008,842,842
167007,5631,5631
167009,598,598
164016,3291,3291
164014,81,81
164017,4526,4526
164018,1370,1370
199007,5002,5002
199053,2626,2626
199056,399,399
167028,205,205
199001,2746,2746
164020,41,41
167015,341,341
167012,6042,6042
167001,1403,1403
167013,0,0
167023,34,34
167025,87,87
167005,25,25
167003,164,164
167027,29,29
167010,1395,1395
167016,493,493
166010,195,195
166009,152,152
166011,271,271
199011,2965,2965
164015,4178,4178
199008,284,284
199006,155,155
164022,471,471
199009,142,142
199010,21,21
166004,2,2
Count of simulated events
MigrationEvent,2011
EducationEvent,38242
BirthEvent,40776
DivorceEvent,10513
MarriageEvent,28239
EmploymentEvent,103415
BirthDayEvent,4080014
RenovationEvent,1228538
MoveEvent,154954
LeaveParentsEvent,2653
LicenseEvent,421228
DeathEvent,13363
DemolitionEvent,1151
ConstructionEvent,35017
Year 2013
Age,Men,Women
0,20891,19883
1,20902,19715
2,20597,19274
3,31656,29792
4,48446,34627
5,34135,32564
6,36666,35698
7,31320,23574
8,30219,33232
9,37513,30486
10,27426,36387
11,30335,32858
12,26584,31113
13,28029,25865
14,30675,37664
15,33747,27604
16,31945,29115
17,28560,29568
18,30005,34401
19,28419,27794
20,33547,30107
21,30730,33574
22,41115,27215
23,33520,43373
24,35871,36166
25,37025,56201
26,37979,42487
27,34678,38763
28,41635,38348
29,45266,41811
30,63471,38516
31,44288,43682
32,34042,36708
33,37102,37427
34,40523,32665
35,32969,35761
36,34683,33450
37,35601,32745
38,32332,41129
39,37076,28071
40,31451,34371
41,31895,27972
42,28711,36491
43,29128,29824
44,29188,35678
45,22668,25994
46,29125,26397
47,24190,23346
48,22343,36634
49,23206,23654
50,24236,25381
51,22700,23627
52,20660,38245
53,18948,22323
54,29025,24363
55,20019,18129
56,19783,18728
57,15625,21810
58,13207,17130
59,15455,21040
60,15360,16210
61,13945,17537
62,10962,18722
63,7927,11949
64,14889,14472
65,15789,8967
66,16510,7309
67,8107,7370
68,6377,7772
69,4573,12613
70,5148,12146
71,5706,9281
72,5075,10292
73,4706,8535
74,4078,8236
75,3155,5253
76,2841,13821
77,3490,6557
78,2741,5681
79,3329,5479
80,2371,5418
81,2429,4996
82,2349,5324
83,1499,5127
84,2148,2787
85,1650,2633
86,938,2987
87,1038,1281
88,356,1865
89,577,1393
90,452,912
91,156,947
92,181,255
93,165,273
94,89,205
95,54,131
96,21,73
97,83,53
98,37,101
99,1,30
100,81,152
hhByType,hh
SIZE_1_INC_LOW,257202
SIZE_2_INC_LOW,261114
SIZE_3_INC_LOW,223338
SIZE_4_INC_LOW,465898
SIZE_1_INC_MEDIUM,454
SIZE_2_INC_MEDIUM,2617
SIZE_3_INC_MEDIUM,2605
SIZE_4_INC_MEDIUM,5102
SIZE_1_INC_HIGH,53
SIZE_2_INC_HIGH,273
SIZE_3_INC_HIGH,211
SIZE_4_INC_HIGH,453
SIZE_1_INC_VERY_HIGH,519
SIZE_2_INC_VERY_HIGH,1110
SIZE_3_INC_VERY_HIGH,1070
SIZE_4_INC_VERY_HIGH,1977
hhBySize,258228,265114,227224,207041,92560,54535,38775,25616,17564,37339
AveHHSize,3.374328020679806
AveHHInc,3832.39190405851,MedianHHInc,2343.0
laborParticipationRateByAge,male,female
<18,0.000560,0.001280
18-29,0.322004,0.332747
30-49,0.583564,0.599052
50-64,0.620154,0.623866
>=65,0.256565,0.094295
aveCommuteDistByRegion,minutes
166002,29.484404
164002,36.41436
199041,21.445272
199014,22.705988
199013,27.013885
199026,21.35639
199002,31.012741
199015,22.371748
199016,22.01524
199025,19.640268
199027,NaN
199028,18.82538
199029,19.192434
199042,27.710917
199043,21.420547
199019,22.96273
199017,24.345072
199018,23.19291
199020,23.085701
199024,18.466219
199033,18.350876
199039,18.622133
199040,23.076536
199050,26.94893
167002,27.816267
199022,20.408016
199021,20.328701
199023,19.832
199052,31.939724
199051,29.210537
199054,34.54907
199057,43.1264
199035,19.653019
199034,18.809877
199036,19.826122
199037,19.825216
199045,25.3469
199038,18.315226
199046,23.857973
199055,30.924948
199047,27.129795
199048,27.534317
199030,17.684406
199031,16.192696
199032,17.00431
199004,36.380165
199003,37.57924
199005,35.056046
164021,27.573145
167018,28.711294
167017,27.774572
167019,27.190588
167026,25.426939
167024,26.883265
167020,24.546293
167022,26.904795
167014,28.033401
167011,27.079391
166007,28.334927
166005,30.1655
166008,29.375181
167006,30.13419
167008,30.117027
167007,34.969612
167009,31.804953
164016,36.89394
164014,40.008167
164017,34.869556
164018,28.98092
199007,30.281109
199053,33.765945
199056,39.35768
167028,20.874575
199001,33.909298
164020,30.568346
167015,26.476698
167012,25.193693
167001,25.392252
167013,NaN
167023,27.650156
167025,27.34506
167005,24.79617
167003,27.174335
167027,23.20283
167010,27.346024
167016,30.107615
166010,33.018173
166009,29.315853
166011,31.660202
199011,25.7219
164015,34.058315
199008,30.533638
199006,28.411385
164022,34.433582
199009,25.247034
199010,25.93478
166004,33.75579
carOwnershipLevel,households
0cars,679822
1car,544174
2cars,0
3+cars,0
QualityLevel,Dwellings
1,52843
2,75776
3,111676
4,944540
CountOfDD,FORMAL,773330
CountOfDD,SEMIDETACHED,104127
CountOfDD,MULTIFAMILY,133886
CountOfDD,BACKYARD_INFORMAL,94244
CountOfDD,INFORMAL,182099
AveMonthlyPrice,FORMAL,957.0808804859513
AveMonthlyPrice,SEMIDETACHED,624.7442221465707
AveMonthlyPrice,MULTIFAMILY,815.2562516988838
AveMonthlyPrice,BACKYARD_INFORMAL,240.83554140675943
AveMonthlyPrice,INFORMAL,335.9912935278222
AveVacancy,FORMAL,0.043139
AveVacancy,SEMIDETACHED,0.048874
AveVacancy,MULTIFAMILY,0.084224
AveVacancy,BACKYARD_INFORMAL,0.013415
AveVacancy,INFORMAL,0.012290
Available land for construction by region
166002,652.705000
164002,1591.885000
199041,14906.810000
199014,3350.460000
199013,4724.365000
199026,1091.265000
199002,19388.845000
199015,2923.455000
199016,8701.145000
199025,562.485000
199027,115.975000
199028,7.235001
199029,4880.290002
199042,367.170000
199043,0.000000
199019,2529.360000
199017,3019.775000
199018,1880.315000
199020,2800.380000
199024,1909.955001
199033,3033.795001
199039,2264.205003
199040,815.705000
199050,468.150000
167002,1719.550000
199022,1829.215000
199021,1570.355000
199023,1331.700001
199052,300.915000
199051,966.445000
199054,115.365000
199057,18.580000
199035,2721.760000
199034,863.685000
199036,322.240000
199037,155.990000
199045,7667.990000
199038,6289.250002
199046,462.465001
199055,1920.340000
199047,4343.550000
199048,71.180000
199030,1569.380001
199031,489.540000
199032,640.225000
199004,1296.370000
199003,6.175000
199005,1878.750000
164021,0.085000
167018,2121.780000
167017,191.305000
167019,10.050000
167026,95.365000
167024,39.840000
167020,34.250000
167022,32.660000
167014,146.265000
167011,61.130000
166007,0.000000
166005,656.220000
166008,3336.250000
167006,11.790000
167008,18.730000
167007,72.480000
167009,0.055000
164016,701.825000
164014,132.240000
164017,242.095000
164018,57.205000
199007,420.790000
199053,2102.130000
199056,58.710000
167028,30.410000
199001,15.395000
164020,11.485000
167015,60.220000
167012,0.005000
167001,310.905000
167013,250.975000
167023,5.630000
167025,6.750000
167005,30.490000
167003,9.000000
167027,33.250000
167010,13.210000
167016,53.275000
166010,50.000000
166009,12.750000
166011,5.630000
199011,216.610000
164015,30.570000
199008,369.255000
199006,108.000000
164022,60.655000
199009,238.740000
199010,63.120000
166004,87.380000
Housing costs by income group
Income,rent_250,rent_500,rent_750,rent_1000,rent_1250,rent_1500,rent_1750,rent_2000,rent_2250,rent_2500,averageRent
10000,560498,142895,85469,57193,53864,43557,35035,49275,38988,72705,671
20000,19353,4372,3324,2108,2725,2622,3027,10758,8933,10851,1276
30000,968,146,105,94,107,105,153,918,1035,5161,2253
40000,250,37,30,17,18,26,22,45,52,1489,2473
50000,63,14,5,3,6,4,4,6,8,344,4510
60000,85,12,13,10,14,7,5,10,11,366,4256
70000,5,0,0,3,0,3,0,0,3,91,7215
80000,146,26,19,13,16,11,12,19,25,1826,7269
90000,59,8,8,7,2,7,1,6,13,897,7946
100000,63,6,4,3,3,8,4,9,9,1341,12500
jobByRegion,Empl,total
166002,6508,6508
164002,461,461
199041,188606,188606
199014,45988,45988
199013,50725,50725
199026,24354,24354
199002,7600,7600
199015,48358,48358
199016,50594,50594
199025,13522,13522
199027,0,0
199028,15884,15884
199029,68752,68752
199042,8163,8163
199043,6639,6639
199019,26252,26252
199017,27471,27471
199018,61334,61334
199020,22601,22601
199024,22347,22347
199033,63278,63278
199039,104445,104445
199040,29408,29408
199050,16044,16044
167002,6478,6478
199022,20009,20009
199021,19972,19972
199023,42432,42432
199052,4832,4832
199051,14362,14362
199054,5957,5957
199057,7,7
199035,33687,33687
199034,15758,15758
199036,15568,15568
199037,11706,11706
199045,22715,22715
199038,118679,118679
199046,21570,21570
199055,7450,7450
199047,21465,21465
199048,119,119
199030,29111,29111
199031,14325,14325
199032,8294,8294
199004,21829,21829
199003,558,558
199005,557,557
164021,506,506
167018,4682,4682
167017,2936,2936
167019,410,410
167026,1200,1200
167024,511,511
167020,81,81
167022,554,554
167014,454,454
167011,4846,4846
166007,7779,7779
166005,18567,18567
166008,35607,35607
167006,701,701
167008,846,846
167007,5660,5660
167009,601,601
164016,3307,3307
164014,81,81
164017,4548,4548
164018,1377,1377
199007,5026,5026
199053,2639,2639
199056,401,401
167028,206,206
199001,2760,2760
164020,41,41
167015,342,342
167012,6072,6072
167001,1410,1410
167013,0,0
167023,34,34
167025,87,87
167005,25,25
167003,165,165
167027,29,29
167010,1402,1402
167016,495,495
166010,196,196
166009,153,153
166011,272,272
199011,2979,2979
164015,4200,4200
199008,285,285
199006,156,156
164022,473,473
199009,142,142
199010,21,21
166004,2,2
Count of simulated events
MigrationEvent,2050
BirthEvent,40808
EducationEvent,47773
DivorceEvent,10790
EmploymentEvent,94293
MarriageEvent,28402
BirthDayEvent,4100183
MoveEvent,156059
RenovationEvent,1262395
LeaveParentsEvent,3655
LicenseEvent,234869
DeathEvent,13945
DemolitionEvent,1151
ConstructionEvent,25864
Year 2014
Age,Men,Women
0,21362,20004
1,20829,19830
2,20858,19694
3,20570,19248
4,31596,29735
5,48363,34563
6,34066,32508
7,36602,35642
8,31263,23530
