Year 2000
Age,Men,Women
OutmigrantsPP,2338
Count of simulated events
LicenseEvent,3279087
BirthDayEvent,10642493
DeathEvent,82477
RenovationEvent,4367798
MoveEvent,141467
EducationEvent,114208
BirthEvent,148389
MigrationEvent,153041
EmploymentEvent,39533
MarriageEvent,114081
LeaveParentsEvent,22416
ConstructionEvent,19428
DivorceEvent,37714
DemolitionEvent,157
AddedCar,0
RelinquishedCar,0
SwitchedToAV,0
Year 2001
Age,Men,Women
0,78439,75393
1,76977,73930
2,78326,76976
3,76511,75389
4,78841,75956
5,79296,77539
6,81719,79103
7,80813,78550
8,84628,82402
9,86596,82330
10,87814,84219
11,90734,82995
12,85086,81799
13,81821,78108
14,83493,78306
15,80106,77074
16,80330,77002
17,76637,75317
18,73799,73571
19,65711,59529
20,56602,55370
21,55006,56003
22,56943,58373
23,59095,64551
24,63007,68779
25,61799,67986
26,63422,71223
27,61833,68706
28,70671,76666
29,75665,83554
30,79476,85031
31,82995,86685
32,81724,86295
33,77591,86511
34,83108,88831
35,87443,95266
36,94404,101122
37,93050,99812
38,92227,100506
39,92938,102679
40,97012,101760
41,91383,100239
42,91655,96795
43,91284,98540
44,88966,94548
45,85436,92133
46,86733,91941
47,78644,89230
48,81927,89075
49,78668,86744
50,74393,84006
51,75969,83857
52,75796,79969
53,75604,82577
54,76084,81284
55,58554,62405
56,58504,64919
57,58632,63362
58,59286,63958
59,52558,56008
60,45532,51780
61,45092,48822
62,41726,46171
63,40080,44485
64,40091,40880
65,36987,42444
66,35539,38493
67,32282,35845
68,33262,36261
69,31550,36830
70,30384,38415
71,29051,39504
72,27786,37820
73,29167,36704
74,25167,33807
75,24848,34554
76,23297,33047
77,21147,31509
78,19109,30576
79,19319,29373
80,16796,26101
81,15405,24457
82,12185,21149
83,10926,19581
84,9063,16930
85,7837,15214
86,6214,13579
87,5920,11801
88,4734,9901
89,3847,7909
90,2781,6433
91,1541,4392
92,1520,3582
93,1000,3484
94,428,2231
95,526,1710
96,369,1276
97,238,1087
98,163,661
99,88,413
100,103,786
ppByRace,hh
white,7554733
black,2256484
hispanic,615978
other,712453
hhByType,hh
SIZE_1_INC_LOW,421311
SIZE_2_INC_LOW,173623
SIZE_3_INC_LOW,76670
SIZE_4_INC_LOW,77970
SIZE_1_INC_MEDIUM,329052
SIZE_2_INC_MEDIUM,291893
SIZE_3_INC_MEDIUM,128740
SIZE_4_INC_MEDIUM,155716
SIZE_1_INC_HIGH,186684
SIZE_2_INC_HIGH,281906
SIZE_3_INC_HIGH,149967
SIZE_4_INC_HIGH,204703
SIZE_1_INC_VERY_HIGH,184008
SIZE_2_INC_VERY_HIGH,637259
SIZE_3_INC_VERY_HIGH,400452
SIZE_4_INC_VERY_HIGH,627627
hhByRace,hh
white,2959002
black,818023
hispanic,127965
other,422591
hhBySize,1121055,1384681,755829,616761,289307,101153,33356,12936,6421,6082
AveHHSize,2.574105
AveHHInc,-145.0,MedianHHInc,51911.0
laborParticipationRateByAge,male,female
<18,0.011293,0.012591
18-29,0.618598,0.584124
30-49,0.756293,0.658274
50-64,0.669867,0.572982
>=65,0.193194,0.105247
aveCommuteDistByRegion,minutes
1,47.797073
4,56.116497
2,52.081116
6,70.17446
3,63.536007
5,50.802086
10,47.658558
9,46.88383
11,70.39912
8,85.52544
12,73.50192
7,75.38089
21,51.294846
13,41.521626
14,51.352985
15,52.732304
17,57.149586
16,72.21956
20,77.3137
19,72.31552
18,74.07446
22,69.10672
31,70.69154
30,75.45504
23,46.247425
24,66.38749
29,57.060406
28,80.252045
25,59.14728
26,98.75796
27,87.9351
carOwnershipLevel,households
0cars,610206
1car,1496045
2cars,1563986
3+cars,657344
QualityLevel,Dwellings
1,44690
2,860901
3,1438698
4,2023596
CountOfDD,SFD,2237318
CountOfDD,SFA,816295
CountOfDD,MF234,274583
CountOfDD,MF5plus,882493
CountOfDD,MH,176467
AveMonthlyPrice,SFD,956.7749361693498
AveMonthlyPrice,SFA,789.348801104323
AveMonthlyPrice,MF234,536.4972578939473
AveMonthlyPrice,MF5plus,681.3223577017204
AveMonthlyPrice,MH,461.0196486409555
AveVacancy,SFD,0.007973
AveVacancy,SFA,0.049975
AveVacancy,MF234,0.244919
AveVacancy,MF5plus,0.062001
AveVacancy,MH,0.192018
Available land for construction by region
1,43491.000000
4,29835.000000
2,32132.000000
6,22147.000000
3,77538.000000
5,23723.000000
10,69488.000000
9,99456.000000
11,71546.000000
8,91656.000000
12,124365.000000
7,200715.000000
21,1612.000000
13,1054.000000
14,5853.000000
15,50485.000000
17,58827.000000
16,49891.000000
20,0.000000
19,0.000000
18,0.000000
22,0.000000
31,0.000000
30,0.000000
23,0.000000
24,0.000000
29,0.000000
28,0.000000
25,0.000000
26,0.000000
27,0.000000
Housing costs by income group
Income,rent_250,rent_500,rent_750,rent_1000,rent_1250,rent_1500,rent_1750,rent_2000,rent_2250,rent_2500,averageRent
10000,72554,105596,125494,28562,12307,5134,3488,1092,2295,1969,518
20000,39905,121250,171279,33424,12713,4684,3167,1095,1966,1604,551
30000,26002,126162,206202,51719,19292,6379,3897,1234,2244,1799,597
40000,19738,105987,211135,73935,28871,9100,5348,1655,2687,2018,651
50000,15002,79996,180899,85493,40332,13346,7316,2234,3205,2172,713
60000,11315,59427,149340,89574,48387,17471,9479,2405,3479,2384,771
70000,8692,43663,117370,79677,53449,22000,12066,3184,3639,2454,831
80000,6521,30306,83203,64666,49921,24357,15049,4245,3743,2623,898
90000,4810,20768,57255,48139,44764,24197,16043,4813,4590,2575,966
100000,18005,70395,201950,135154,155167,114711,114192,49496,56315,75176,1244
jobByRegion,RET,OFF,IND,OTH,total
1,42486,195965,37978,135895,412324
4,47350,105748,23049,78786,254933
2,72813,172412,35020,108200,388445
6,9580,19062,7274,16704,52620
3,21622,39952,14422,31294,107290
5,18812,71604,14793,36858,142067
10,90692,250878,47084,108564,497218
9,79573,79598,52081,127907,339159
11,24531,49223,26710,56055,156519
8,25340,42616,18075,13873,99904
12,7433,13436,6603,16874,44346
7,23840,42798,19104,53787,139529
21,3314,6574,4365,8942,23195
13,72913,409379,58388,168408,709088
14,56327,159817,30377,40574,287095
15,112030,435519,60944,33706,642199
17,14811,40404,21220,23999,100434
16,37185,49187,23917,11830,122119
20,2750,4894,4086,5314,17044
19,15801,23375,21683,21683,82542
18,4178,8482,4420,2422,19502
22,11244,15669,13790,14320,55023
31,8229,18513,7429,12162,46333
30,3645,9013,5211,9012,26881
23,48477,151792,28619,84214,313102
24,21075,47829,19625,41912,130441
29,13807,23201,12352,22010,71370
28,19226,35187,25821,31705,111939
25,37980,98774,41253,61592,239599
26,44152,70784,59368,63316,237620
27,32034,56973,47761,43825,180593
InmigrantsPP,32369
OutmigrantsPP,164
Count of simulated events
ConstructionEvent,104594
BirthDayEvent,11096879
RenovationEvent,4387080
EmploymentEvent,278190
BirthEvent,152683
LicenseEvent,1211814
EducationEvent,135857
DivorceEvent,42049
MoveEvent,166630
DeathEvent,87448
MigrationEvent,12456
MarriageEvent,114082
LeaveParentsEvent,26291
DemolitionEvent,166
AddedCar,0
RelinquishedCar,0
SwitchedToAV,0
Year 2002
Age,Men,Women
0,78549,74624
1,78307,75375
2,77193,74109
3,78478,77186
4,76691,75566
5,79058,76173
6,79513,77754
7,81917,79305
8,81018,78753
9,84866,82615
10,86816,82548
11,88056,84416
12,90949,83214
13,85279,81958
14,82000,78325
15,83647,78457
16,80256,77247
17,80480,77213
18,76809,75489
19,73902,73722
20,65788,59644
21,56678,55478
22,55062,56129
23,57011,58523
24,59189,64696
25,63111,68924
26,61901,68155
27,63516,71385
28,61951,68884
29,70787,76861
30,75819,83732
31,79586,85227
32,83120,86871
33,81842,86481
34,77725,86721
35,83215,89020
36,87553,95469
37,94474,101336
38,93148,99989
39,92297,100694
40,92988,102848
41,96956,101901
42,91357,100320
43,91613,96924
44,91254,98655
45,88906,94660
46,85359,92179
47,86589,91977
48,78483,89227
49,81732,89093
50,78440,86701
51,74160,83937
52,75669,83758
53,75534,79895
54,75372,82533
55,75636,81054
56,58173,62232
57,58113,64729
58,58222,63144
59,58787,63708
60,52067,55683
61,44961,51412
62,44472,48470
63,41201,45850
64,39565,44169
65,39396,40530
66,36170,41901
67,34805,38007
68,31590,35390
69,32537,35856
70,30690,36266
71,29404,37588
72,28046,38711
73,26829,36992
74,28203,35967
75,24129,32898
76,23464,33394
77,22036,31887
78,19968,30486
79,18148,29485
80,17901,28006
81,15305,24533
82,13971,22957
83,11156,19837
84,9957,18377
85,8010,15586
86,6700,13627
87,5332,12180
88,5045,10586
89,4023,8813
90,3132,6818
91,2167,5368
92,1229,3659
93,1183,3002
94,771,2883
95,308,1743
96,356,1220
97,241,936
98,156,780
99,105,479
100,101,713
ppByRace,hh
white,7605648
black,2272166
hispanic,624105
other,734599
hhByType,hh
SIZE_1_INC_LOW,442757
SIZE_2_INC_LOW,167393
SIZE_3_INC_LOW,69883
SIZE_4_INC_LOW,65761
SIZE_1_INC_MEDIUM,328273
SIZE_2_INC_MEDIUM,285527
SIZE_3_INC_MEDIUM,122699
SIZE_4_INC_MEDIUM,140692
SIZE_1_INC_HIGH,189124
SIZE_2_INC_HIGH,280073
SIZE_3_INC_HIGH,149975
SIZE_4_INC_HIGH,201053
SIZE_1_INC_VERY_HIGH,186670
SIZE_2_INC_VERY_HIGH,649991
SIZE_3_INC_VERY_HIGH,424304
SIZE_4_INC_VERY_HIGH,664645
hhByRace,hh
white,2979196
black,825246
hispanic,134580
other,429798
hhBySize,1146824,1382984,766861,610646,295269,106296,35095,13201,6123,5521
AveHHSize,2.57198
AveHHInc,134.0,MedianHHInc,53316.0
laborParticipationRateByAge,male,female
<18,0.012099,0.013311
18-29,0.633331,0.598358
30-49,0.781564,0.680812
50-64,0.691752,0.590700
>=65,0.199501,0.107884
aveCommuteDistByRegion,minutes
1,50.80547
4,57.539787
2,54.61152
6,71.154755
3,65.86917
5,51.819458
10,49.811687
9,49.077927
11,71.805176
8,86.68407
12,76.81176
7,80.37152
21,58.880398
13,44.843403
14,55.412865
15,54.620285
17,58.75706
16,73.86087
20,80.8412
19,74.52541
18,75.470955
22,70.95406
31,72.575775
30,80.88069
23,49.648224
24,69.05044
29,65.07369
28,83.0573
25,62.826645
26,109.15644
27,97.96267
carOwnershipLevel,households
0cars,761097
1car,1533665
2cars,1514993
3+cars,559065
QualityLevel,Dwellings
1,60553
2,882148
3,1364343
4,2060841
CountOfDD,SFD,2288527
CountOfDD,SFA,837034
CountOfDD,MF234,279435
CountOfDD,MF5plus,907754
CountOfDD,MH,178834
AveMonthlyPrice,SFD,932.3442836264885
AveMonthlyPrice,SFA,770.9143627793367
AveMonthlyPrice,MF234,531.1846309938211
AveMonthlyPrice,MF5plus,667.663639234435
AveMonthlyPrice,MH,460.313318582395
AveVacancy,SFD,0.005797
AveVacancy,SFA,0.015700
AveVacancy,MF234,0.043568
AveVacancy,MF5plus,0.020035
AveVacancy,MH,0.023489
Available land for construction by region
1,43334.000000
4,20451.000000
2,18657.000000
6,21683.000000
3,71608.000000
5,19066.000000
10,52727.000000
9,90147.000000
11,65265.000000
8,91601.000000
12,123217.000000
7,197893.000000
21,1584.000000
13,767.000000
14,176.000000
15,31630.000000
17,55252.000000
16,44162.000000
20,0.000000
19,0.000000
18,0.000000
22,0.000000
31,0.000000
30,0.000000
23,0.000000
24,0.000000
29,0.000000
28,0.000000
25,0.000000
26,0.000000
27,0.000000
Housing costs by income group
Income,rent_250,rent_500,rent_750,rent_1000,rent_1250,rent_1500,rent_1750,rent_2000,rent_2250,rent_2500,averageRent
10000,77166,103529,127156,29118,13475,5745,4031,1527,1646,3334,525
20000,47099,114227,159811,32029,12739,4941,3191,1265,1259,2506,546
30000,34707,119051,188977,47961,18119,6350,4015,1379,1453,2638,588
40000,29896,106726,198804,68998,26926,9040,5390,1844,1810,3108,637
50000,19582,83339,176120,81900,37244,13078,7286,2487,2225,3411,703
60000,14517,63731,148551,86554,44942,16915,9271,2667,2824,3579,760
70000,15588,49101,120344,79998,49210,20550,11623,3186,2884,3702,804
80000,12776,34579,89165,67451,48105,23184,13984,4267,3202,3559,865
90000,9295,23669,62728,51890,43740,23442,15177,4802,3834,3371,930
100000,34900,76672,211587,146799,157898,115527,110985,48572,50250,74015,1190
jobByRegion,RET,OFF,IND,OTH,total
1,42486,195965,37978,135895,412324
4,48492,108311,23611,80695,261109
2,73345,173689,35261,109002,391297
6,9863,19623,7491,17195,54172
3,22197,41011,14825,32132,110165
5,19193,73055,15093,37610,144951
10,91573,253317,47543,109623,502056
9,79890,79905,52276,128410,340481
11,24993,50209,27167,57233,159602
8,25984,43699,18542,14219,102444
12,7467,13485,6626,16958,44536
7,24178,43369,19338,54483,141368
21,3325,6596,4382,8972,23275
13,73462,412477,58829,169682,714450
14,56576,160463,30486,40680,288205
15,113298,440445,61629,34090,649462
17,15763,43000,22584,25543,106890
16,38534,50974,24788,12260,126556
20,2766,4924,4109,5349,17148
19,16457,24383,22605,22605,86050
18,4328,8786,4579,2509,20202
22,11434,15927,14016,14565,55942
31,8414,18927,7598,12421,47360
30,3685,9105,5260,9097,27147
23,48477,151792,28619,84214,313102
24,21539,48898,20048,42839,133324
29,13897,23350,12420,22146,71813
28,19556,35816,26250,32232,113854
25,38565,100293,41888,62541,243287
26,44448,71257,59764,63740,239209
27,32276,57405,48123,44156,181960
InmigrantsPP,7005
OutmigrantsPP,389
Count of simulated events
BirthDayEvent,11192833
MoveEvent,174766
MarriageEvent,110936
RenovationEvent,4491501
EmploymentEvent,180783
LicenseEvent,721778
BirthEvent,151126
EducationEvent,149840
DeathEvent,89999
DivorceEvent,42132
ConstructionEvent,12303
LeaveParentsEvent,28469
MigrationEvent,2702
DemolitionEvent,178
AddedCar,0
RelinquishedCar,0
SwitchedToAV,0
Year 2003
Age,Men,Women
0,77360,73852
1,78249,74396
2,78326,75395
3,77209,74124
4,78483,77204
5,76698,75564
6,79068,76181
7,79514,77773
8,81931,79310
9,81031,78779
10,84868,82621
11,86814,82553
12,88069,84421
13,90936,83206
14,85278,81954
15,81953,78328
16,83595,78467
17,80201,77262
18,80443,77225
19,76765,75500
20,73859,73712
21,65703,59637
22,56615,55483
23,54994,56140
24,56962,58523
25,59131,64678
26,63056,68920
27,61841,68161
28,63466,71376
29,61906,68885
30,70738,76863
31,75760,83730
32,79516,85211
33,83057,86866
34,81769,86471
35,77636,86692
36,83081,88965
37,87446,95426
38,94353,101272
39,93019,99928
40,92088,100609
41,92718,102739
42,96725,101796
43,91135,100185
44,91406,96848
45,90957,98508
46,88523,94512
47,85066,92009
48,86300,91800
49,78122,89069
50,81338,88882
51,77959,86399
52,73734,83641
53,75240,83493
54,75143,79646
55,74756,82163
56,74887,80640
57,57639,61933
58,57576,64364
59,57707,62810
60,58065,63236
61,51285,55153
62,44335,50936
63,43822,48036
64,40609,45446
65,38793,43673
66,38475,39946
67,35321,41227
68,34040,37453
69,30817,34858
70,31647,35203
71,29597,35446
72,28355,36676
73,26998,37821
74,25933,36143
75,26901,34884
76,22716,31733
77,22108,32191
78,20785,30729
79,18874,29323
80,16800,27975
81,16237,26227
82,13937,23036
83,12692,21500
84,10147,18618
85,8807,16844
86,6846,13977
87,5741,12209
88,4518,10934
89,4360,9472
90,3278,7579
91,2446,5598
92,1708,4446
93,962,3040
94,927,2502
95,568,2226
96,222,1270
97,232,898
98,161,677
99,106,547
100,123,707
ppByRace,hh
white,7634651
black,2283429
hispanic,630857
other,754570
hhByType,hh
SIZE_1_INC_LOW,469026
SIZE_2_INC_LOW,165750
SIZE_3_INC_LOW,67021
SIZE_4_INC_LOW,59984
SIZE_1_INC_MEDIUM,328553
SIZE_2_INC_MEDIUM,282127
SIZE_3_INC_MEDIUM,118959
SIZE_4_INC_MEDIUM,131171
SIZE_1_INC_HIGH,188641
SIZE_2_INC_HIGH,278771
SIZE_3_INC_HIGH,149501
SIZE_4_INC_HIGH,198376
SIZE_1_INC_VERY_HIGH,186666
SIZE_2_INC_VERY_HIGH,651700
SIZE_3_INC_VERY_HIGH,437692
SIZE_4_INC_VERY_HIGH,686650
hhByRace,hh
white,2992968
black,831617
hispanic,140603
other,435400
hhBySize,1172886,1378348,773173,605429,298147,110937,37230,13422,5969,5047
AveHHSize,2.5686357
AveHHInc,-302.0,MedianHHInc,53827.0
laborParticipationRateByAge,male,female
<18,0.012237,0.013371
18-29,0.627843,0.594582
30-49,0.783248,0.682366
50-64,0.692584,0.590731
>=65,0.199599,0.107804
aveCommuteDistByRegion,minutes
1,52.661903
4,58.685425
2,56.700478
6,71.99668
3,67.77643
5,52.673176
10,51.318195
9,50.54656
11,73.04168
8,87.73848
12,79.19755
7,84.85873
21,63.588345
13,46.709328
14,58.45134
15,55.96135
17,59.88453
16,74.99386
20,83.32623
19,75.890205
18,76.2355
22,72.25826
31,73.99469
30,84.77474
23,51.983738
24,71.18338
29,69.57357
28,85.19952
25,65.51025
26,113.18299
27,102.23267
carOwnershipLevel,households
0cars,892555
1car,1551598
2cars,1468916
3+cars,487519
QualityLevel,Dwellings
1,71221
2,891759
3,1329501
4,2075404
CountOfDD,SFD,2290238
CountOfDD,SFA,839997
CountOfDD,MF234,281089
CountOfDD,MF5plus,912939
CountOfDD,MH,179446
AveMonthlyPrice,SFD,930.60752014941
AveMonthlyPrice,SFA,772.9135035578386
AveMonthlyPrice,MF234,532.6341732577639
AveMonthlyPrice,MF5plus,669.1069350670208
AveMonthlyPrice,MH,464.6555585638219
AveVacancy,SFD,0.020214
AveVacancy,SFA,0.030453
AveVacancy,MF234,0.042604
AveVacancy,MF5plus,0.038961
AveVacancy,MH,0.020919
Available land for construction by region
1,43108.000000
4,20139.000000
2,17882.000000
6,21543.000000
3,71221.000000
5,18846.000000
10,50239.000000
9,87526.000000
11,65013.000000
8,91508.000000
12,123131.000000
7,195000.000000
21,1563.000000
13,614.000000
14,0.000000
15,30297.000000
17,55201.000000
16,44086.000000
20,0.000000
19,0.000000
18,0.000000
22,0.000000
31,0.000000
30,0.000000
23,0.000000
24,0.000000
29,0.000000
28,0.000000
25,0.000000
26,0.000000
27,0.000000
Housing costs by income group
Income,rent_250,rent_500,rent_750,rent_1000,rent_1250,rent_1500,rent_1750,rent_2000,rent_2250,rent_2500,averageRent
10000,78753,122087,115750,32393,14575,8366,4412,2183,1586,4098,543
20000,50915,131736,132514,33044,13004,7023,3442,1629,1160,3107,556
30000,39946,136843,155526,47339,17303,8417,3963,1853,1357,3172,591
40000,35121,127398,167932,65991,24650,11575,5111,2192,1597,3528,635
50000,23390,103432,152308,79748,33177,16103,6777,2870,1944,4081,701
60000,17101,80799,130962,85113,39332,20091,8152,3276,2285,4340,757
70000,18361,62687,108905,80352,42696,23554,9906,4014,2548,4361,798
80000,16122,45967,82932,69353,43089,26706,11899,4720,2604,4486,853
90000,11756,31986,59209,54848,39421,27207,12764,5364,3210,4140,916
100000,43793,107897,189564,159166,146847,135455,95458,54375,40508,74486,1164
jobByRegion,RET,OFF,IND,OTH,total
1,42486,195965,37978,135895,412324
4,49636,110863,24166,82598,267263
2,73884,174963,35528,109809,394184
6,10138,20186,7705,17683,55712
3,22773,42063,15225,32966,113027
5,19575,74510,15392,38357,147834
10,92457,255754,48000,110680,506891
9,80198,80218,52474,128914,341804
11,25456,51203,27628,58399,162686
8,26631,44784,19011,14567,104993
12,7502,13534,6651,17042,44729
7,24512,43940,19571,55186,143209
21,3337,6617,4399,9001,23354
13,74015,415581,59275,170957,719828
14,56827,161108,30594,40786,289315
15,114561,445372,62320,34474,656727
17,16719,45597,23946,27084,113346
16,39885,52763,25656,12689,130993
20,2781,4955,4132,5385,17253
19,17113,25390,23527,23527,89557
18,4478,9091,4737,2597,20903
22,11624,16186,14245,14811,56866
31,8598,19342,7765,12680,48385
30,3725,9196,5309,9182,27412
23,48477,151792,28619,84214,313102
24,22001,49969,20477,43767,136214
29,13988,23499,12486,22281,72254
28,19885,36444,26680,32759,115768
25,39151,101818,42525,63491,246985
26,44742,71729,60161,64163,240795
27,32519,57837,48485,44491,183332
InmigrantsPP,87899
OutmigrantsPP,611
Count of simulated events
RenovationEvent,4503628
BirthDayEvent,11258723
LicenseEvent,543494
DivorceEvent,41927
ConstructionEvent,36296
MoveEvent,183415
BirthEvent,147982
DeathEvent,92191
EducationEvent,155242
MarriageEvent,109790
LeaveParentsEvent,30442
EmploymentEvent,186267
MigrationEvent,34426
DemolitionEvent,172
AddedCar,0
RelinquishedCar,0
SwitchedToAV,0
Year 2004
Age,Men,Women
0,76343,72774
1,77649,74125
2,78831,74953
3,78836,75910
4,77807,74675
5,79011,77736
6,77272,76118
7,79645,76705
8,80076,78306
9,82543,79882
10,81668,79382
11,85444,83179
12,87429,83156
13,88754,85036
14,91528,83779
15,85833,82532
16,82476,78891
17,84124,79038
18,80734,77833
19,80958,77778
20,77252,76040
21,74224,74092
22,65997,59989
23,56922,55866
24,55362,56542
25,57316,58970
26,59527,65162
27,63433,69420
28,62295,68647
29,63893,71880
30,62391,69445
31,71243,77463
32,76344,84313
33,79967,85822
34,83519,87440
35,82183,87019
36,78059,87222
37,83585,89566
38,88018,96079
39,94834,101835
40,93510,100618
41,92524,101299
42,93223,103340
43,97132,102398
44,91540,100818
45,91765,97412
46,91264,98991
47,88795,94953
48,85362,92524
49,86493,92284
50,78344,89443
51,81380,89211
52,78058,86718
53,73858,83921
54,75346,83811
55,75039,79881
56,74601,82252
57,74584,80588
58,57537,61999
59,57464,64476
